assumptions,downscaling,harmonisation,model,modified,region,scenario,sector,source,unit,variable,2015-01-01,2020-01-01,2030-01-01,2040-01-01,2050-01-01,2060-01-01,2070-01-01,2080-01-01,2090-01-01,2100-01-01
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SLE,SSP2-45,,,kt NOx/yr,Emissions|NOx|Transportation Sector,5.079029405533023,4.638266135810271,5.483425306537161,6.766746955640534,7.433925153873773,7.320835874032095,6.338596117229054,5.931913982923174,5.846733742114599,5.633631468646886
med,intensity_convergence,aneris_constant_ratio,MESSAGE-GLOBIOM,,SLV,SSP2-45,,,kt CH4/yr,Emissions|CH4|Energy Sector,26.7902782936801,24.334168047933115,26.27420746929336,26.22341218623016,21.785605644667598,17.336956554870014,15.30357463363309,15.33247554632983,15.132031490132325,14.13854017194064
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SLV,SSP2-45,,,kt CH4/yr,Emissions|CH4|Transportation Sector,0.22741085661662397,0.25401760841090026,0.3131784497133966,0.373027300119311,0.40702312257247003,0.3376066333097733,0.36199086161475263,0.329547196814083,0.3382820082323764,0.40028305448671
med,intensity_convergence,aneris_reduce_offset_2150_cov,MESSAGE-GLOBIOM,,SLV,SSP2-45,,,Mt H2/yr,Emissions|H2|Agriculture,0.006391427524202499,0.005533314075106283,0.005345002552193722,0.0049917809086514955,0.0044287281603554475,0.003920393521183714,0.00391960146089432,0.0038642134643964037,0.004056236826264774,0.004043122170743787
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SLV,SSP2-45,,,Mt H2/yr,Emissions|H2|Energy Sector,0.006804327793437399,0.005765077602922723,0.005337697364189796,0.004985961053901123,0.004449464800548366,0.0039478211763403085,0.004144678982025196,0.004377684253975384,0.004716157863885576,0.005174348082239657
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SLV,SSP2-45,,,Mt H2/yr,Emissions|H2|Industrial Sector,0.005553902997974399,0.004584013798117798,0.004110092983071546,0.0037925686327034036,0.0033512779662049665,0.002925139057328628,0.0026751673355888176,0.002375371662805825,0.0020895630017385212,0.0018576566635095096
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SLV,SSP2-45,,,Mt H2/yr,"Emissions|H2|Residential, Commercial, Other",0.0151973094355218,0.012473903054927113,0.01109687609619648,0.010187969580479392,0.00892728288289382,0.007771987868396982,0.007078697604841385,0.006247671207539155,0.00547813588072249,0.004879909131477492
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SLV,SSP2-45,,,Mt H2/yr,Emissions|H2|Solvents production and application,0.000160768687799,0.0001367300847661577,0.00012665979881820128,0.00012223760890764675,0.00011246859449110781,0.00010049052538505494,9.492652855925872e-05,8.890289853112011e-05,8.240273199416148e-05,7.555885064935752e-05
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SLV,SSP2-45,,,Mt H2/yr,Emissions|H2|Transportation Sector,0.0074607923869817,0.006140680098665741,0.005483768516965072,0.005052187505730898,0.0044508093052391924,0.003880270710279985,0.003704880517429194,0.0035055808922918592,0.00333791232161644,0.0033256436027631676
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SLV,SSP2-45,,,Mt H2/yr,Emissions|H2|Waste,0.002897849639794,0.0025581875503317086,0.002486203863865137,0.002362717110645757,0.002149015266629561,0.0019430991097777127,0.0019511705611325659,0.001935644585687019,0.001984869739179079,0.0019445452992730317
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SLV,SSP2-45,,,kt NH3/yr,Emissions|NH3|Energy Sector,1.1675997337558743,1.1041042852329241,1.0351115752298243,1.0249192597999652,1.0201165001964654,0.9946213843139311,0.971333999633603,0.9516018724502825,0.913422030637054,0.8681072783089591
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SLV,SSP2-45,,,kt NH3/yr,Emissions|NH3|Transportation Sector,0.17023289900841904,0.16700262704617136,0.17563428639888853,0.17110386788129334,0.1473091094282446,0.10249745967987196,0.09786073662576815,0.08701902536648479,0.07544175883364884,0.06329538714910109
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SLV,SSP2-45,,,kt NOx/yr,Emissions|NOx|Energy Sector,32.02193732951216,29.558335118308165,27.88918814854143,26.065296651139775,20.669483402933945,16.519955098170545,11.262014168732783,9.136239645650864,8.369368155129449,8.245638801526782
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SLV,SSP2-45,,,kt NOx/yr,Emissions|NOx|Transportation Sector,11.295878482761898,9.014616252117646,8.800394553947632,8.569270214163444,7.372525798466225,5.118757498438654,4.658973374326625,3.7651405057441742,3.4958927420030173,3.357345799715845
