variable,sector,scaler_name,scaler_variable_id,scaler_source_id,scaler_sector
VOC,MNM,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Agriculture
VOC,NFE,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Industrial Sector
VOC,PRU_SOL,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Solvents production and application
VOC,RCO,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,"Residential, Commercial, Other"
VOC,REF_TRF,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Energy Sector
VOC,SWD_INC,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Waste
VOC,SWD_LDF,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Waste
VOC,TNR_Other,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Transportation Sector
VOC,TNR_Ship,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,International Shipping
VOC,TRO_RES,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Transportation Sector
VOC,TRO_noRES,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Transportation Sector
VOC,WWT,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Waste

